领域代码,领域,地区代码 (M49),地区,要素代码,要素,科目代码 (FBS),科目,年份代码,年份,单位,值,标识,标识描述,说明
"FBS","食品收支表 (2010-)","064","不 丹","645","Food supply quantity (kg/capita/yr)","S2731","牛肉","2022","2022","kg/cap","7.3","E","Estimated value",""
"FBS","食品收支表 (2010-)","064","不 丹","645","Food supply quantity (kg/capita/yr)","S2732","绵羊和山羊肉","2022","2022","kg/cap","0.25","E","Estimated value",""
"FBS","食品收支表 (2010-)","064","不 丹","645","Food supply quantity (kg/capita/yr)","S2733","猪肉","2022","2022","kg/cap","3.33","E","Estimated value",""
"FBS","食品收支表 (2010-)","064","不 丹","645","Food supply quantity (kg/capita/yr)","S2734","禽肉","2022","2022","kg/cap","4.81","E","Estimated value",""
"FBS","食品收支表 (2010-)","064","不 丹","645","Food supply quantity (kg/capita/yr)","S2736","可食用内脏","2022","2022","kg/cap","1.35","E","Estimated value",""
"FBS","食品收支表 (2010-)","626","东帝汶","645","Food supply quantity (kg/capita/yr)","S2731","牛肉","2022","2022","kg/cap","1.57","E","Estimated value",""
"FBS","食品收支表 (2010-)","626","东帝汶","645","Food supply quantity (kg/capita/yr)","S2732","绵羊和山羊肉","2022","2022","kg/cap","0.5","E","Estimated value",""
"FBS","食品收支表 (2010-)","626","东帝汶","645","Food supply quantity (kg/capita/yr)","S2733","猪肉","2022","2022","kg/cap","10.29","E","Estimated value",""
"FBS","食品收支表 (2010-)","626","东帝汶","645","Food supply quantity (kg/capita/yr)","S2734","禽肉","2022","2022","kg/cap","5.43","E","Estimated value",""
"FBS","食品收支表 (2010-)","626","东帝汶","645","Food supply quantity (kg/capita/yr)","S2736","可食用内脏","2022","2022","kg/cap","11.94","E","Estimated value",""
"FBS","食品收支表 (2010-)","156","中 国","645","Food supply quantity (kg/capita/yr)","S2731","牛肉","2022","2022","kg/cap","8.04","E","Estimated value",""
"FBS","食品收支表 (2010-)","156","中 国","645","Food supply quantity (kg/capita/yr)","S2732","绵羊和山羊肉","2022","2022","kg/cap","3.86","E","Estimated value",""
"FBS","食品收支表 (2010-)","156","中 国","645","Food supply quantity (kg/capita/yr)","S2733","猪肉","2022","2022","kg/cap","40.16","E","Estimated value",""
"FBS","食品收支表 (2010-)","156","中 国","645","Food supply quantity (kg/capita/yr)","S2734","禽肉","2022","2022","kg/cap","17.14","E","Estimated value",""
"FBS","食品收支表 (2010-)","156","中 国","645","Food supply quantity (kg/capita/yr)","S2736","可食用内脏","2022","2022","kg/cap","4.22","E","Estimated value",""
"FBS","食品收支表 (2010-)","158","中国台湾省","645","Food supply quantity (kg/capita/yr)","S2731","牛肉","2022","2022","kg/cap","8.59","E","Estimated value",""
"FBS","食品收支表 (2010-)","158","中国台湾省","645","Food supply quantity (kg/capita/yr)","S2732","绵羊和山羊肉","2022","2022","kg/cap","0.8","E","Estimated value",""
"FBS","食品收支表 (2010-)","158","中国台湾省","645","Food supply quantity (kg/capita/yr)","S2733","猪肉","2022","2022","kg/cap","38.18","E","Estimated value",""
"FBS","食品收支表 (2010-)","158","中国台湾省","645","Food supply quantity (kg/capita/yr)","S2734","禽肉","2022","2022","kg/cap","40.9","E","Estimated value",""
"FBS","食品收支表 (2010-)","158","中国台湾省","645","Food supply quantity (kg/capita/yr)","S2736","可食用内脏","2022","2022","kg/cap","1.81","E","Estimated value",""
"FBS","食品收支表 (2010-)","446","中国澳门特区","645","Food supply quantity (kg/capita/yr)","S2731","牛肉","2022","2022","kg/cap","12.6","E","Estimated value",""
"FBS","食品收支表 (2010-)","446","中国澳门特区","645","Food supply quantity (kg/capita/yr)","S2732","绵羊和山羊肉","2022","2022","kg/cap","0.57","E","Estimated value",""
"FBS","食品收支表 (2010-)","446","中国澳门特区","645","Food supply quantity (kg/capita/yr)","S2733","猪肉","2022","2022","kg/cap","48.9","E","Estimated value",""
"FBS","食品收支表 (2010-)","446","中国澳门特区","645","Food supply quantity (kg/capita/yr)","S2734","禽肉","2022","2022","kg/cap","49.61","E","Estimated value",""
"FBS","食品收支表 (2010-)","446","中国澳门特区","645","Food supply quantity (kg/capita/yr)","S2736","可食用内脏","2022","2022","kg/cap","4.06","E","Estimated value",""
"FBS","食品收支表 (2010-)","344","中国香港特区","645","Food supply quantity (kg/capita/yr)","S2731","牛肉","2022","2022","kg/cap","23.07","E","Estimated value",""
"FBS","食品收支表 (2010-)","344","中国香港特区","645","Food supply quantity (kg/capita/yr)","S2732","绵羊和山羊肉","2022","2022","kg/cap","0.52","E","Estimated value",""
"FBS","食品收支表 (2010-)","344","中国香港特区","645","Food supply quantity (kg/capita/yr)","S2733","猪肉","2022","2022","kg/cap","52.57","E","Estimated value",""
"FBS","食品收支表 (2010-)","344","中国香港特区","645","Food supply quantity (kg/capita/yr)","S2734","禽肉","2022","2022","kg/cap","45.14","E","Estimated value",""
"FBS","食品收支表 (2010-)","344","中国香港特区","645","Food supply quantity (kg/capita/yr)","S2736","可食用内脏","2022","2022","kg/cap","13.9","E","Estimated value",""
"FBS","食品收支表 (2010-)","860","乌兹别克斯坦","645","Food supply quantity (kg/capita/yr)","S2731","牛肉","2022","2022","kg/cap","30.75","E","Estimated value",""
"FBS","食品收支表 (2010-)","860","乌兹别克斯坦","645","Food supply quantity (kg/capita/yr)","S2732","绵羊和山羊肉","2022","2022","kg/cap","4.8","E","Estimated value",""
"FBS","食品收支表 (2010-)","860","乌兹别克斯坦","645","Food supply quantity (kg/capita/yr)","S2733","猪肉","2022","2022","kg/cap","0.18","E","Estimated value",""
"FBS","食品收支表 (2010-)","860","乌兹别克斯坦","645","Food supply quantity (kg/capita/yr)","S2734","禽肉","2022","2022","kg/cap","6.38","E","Estimated value",""
"FBS","食品收支表 (2010-)","860","乌兹别克斯坦","645","Food supply quantity (kg/capita/yr)","S2736","可食用内脏","2022","2022","kg/cap","4.7","E","Estimated value",""
"FBS","食品收支表 (2010-)","887","也 门","645","Food supply quantity (kg/capita/yr)","S2731","牛肉","2022","2022","kg/cap","2.29","E","Estimated value",""
"FBS","食品收支表 (2010-)","887","也 门","645","Food supply quantity (kg/capita/yr)","S2732","绵羊和山羊肉","2022","2022","kg/cap","4.59","E","Estimated value",""
"FBS","食品收支表 (2010-)","887","也 门","645","Food supply quantity (kg/capita/yr)","S2733","猪肉","2022","2022","kg/cap","0.01","E","Estimated value",""
"FBS","食品收支表 (2010-)","887","也 门","645","Food supply quantity (kg/capita/yr)","S2734","禽肉","2022","2022","kg/cap","9.06","E","Estimated value",""
"FBS","食品收支表 (2010-)","887","也 门","645","Food supply quantity (kg/capita/yr)","S2736","可食用内脏","2022","2022","kg/cap","1.26","E","Estimated value",""
