Region/Country,name,1882-1918,1919-1948,1948-1951,1952-1960,1961-1971,1972-1979,1980-1989,1990-2001,2002-2010,2011-2020,total
Africa,非洲,,"4,033","93,282","143,485","164,885",19273 ,"28,664","55,619","31,558","20,843",561642
"Ethiopian EmpireAbyssinia→
Ethiopia Ethiopia and EritreaEritrea",埃塞俄比亚厄立特里亚,,0,10,59,98,309 ,"16,971","45,131","23,613","10,500",96691
AlgeriaAlgeria,阿尔及利亚,,994,"3,810","3,433","12,857",2137 ,"1,830","1,682","1,967",324,29034
EgyptEgypt and SudanSudan,埃及苏丹,,0,"16,028","17,521","2,963",535 ,372,202,166,21,37808
LibyaLibya,利比亚,,873,"30,972","2,079","2,466",219 ,67,94,36,5,36811
MoroccoMorocco,摩洛哥,,0,"28,263","95,945","130,507",7780 ,"3,809","3,276","2,113",384,272077
South AfricaSouth Africa,南非,,259,666,774,"3,783",5604 ,"3,575","3,283","1,693","2,560",22197
TunisiaTunisia,突尼斯,,0,"13,293","23,569","11,566",2148 ,"1,942","1,607","1,871",398,56394
ZimbabweZimbabwe,津巴布韦,,0,37,22,145,393 ,82,26,14,,719
Other (Africa),非洲其他地区,,"1,907",203,83,500,148 ,16,318,85,24,3284
Americas and Oceania,美洲和大洋洲,,"7,579","3,822","6,922","42,400",45040 ,"39,369","39,662","36,209","51,370",272373
ArgentinaArgentina,阿根廷,,238,904,"2,888","11,701",13158 ,"10,582","11,248","9,450","3,150",63319
AustraliaAustralia,澳大利亚,,0,116,107,742,1146 ,835,977,524,,4447
BoliviaBolivia,玻利维亚,,0,0,0,199,94 ,80,53,84,,510
BrazilBrazil,巴西,,0,304,763,"2,601",1763 ,"1,763","2,356","2,037","4,320",15907
CanadaCanada,加拿大,,316,236,276,"2,169",2178 ,"1,867","1,963","1,700","6,340",17045
ChileChile,智利,,0,48,401,"1,790",1180 ,"1,040",683,589,,5731
ColombiaColombia,哥伦比亚,,0,0,0,415,552 ,475,657,965,,3064
CubaCuba,古巴,,0,14,88,405,79 ,42,629,606,,1863
EcuadorEcuador,厄瓜多尔,,0,0,0,40,38 ,44,67,69,,258
MexicoMexico,墨西哥,,0,48,168,736,861 ,993,"1,049",697,,4552
New ZealandNew Zealand,新西兰,,70,0,13,91,129 ,124,142,42,,611
PanamaPanama,巴拿马,,0,0,0,64,43 ,48,50,40,,245
PeruPeru,秘鲁,,0,0,0,269,243 ,358,612,"1,539",,3021
United StatesUnited States,美国,"2,000","6,635","1,711","1,553","18,671",20963 ,"18,904","17,512","15,445","32,000",135394
