country,value
阿富汗,1.5
阿尔巴尼亚,1.4
阿尔及利亚,1.5
安道尔,1.429
安哥拉,1.5
安提瓜和巴布达,1.5
阿根廷,1.6
亚美尼亚,2
澳大利亚,2
奥地利,1.5
阿塞拜疆,2
巴哈马,2
巴林,1.667
孟加拉国,1.667
巴巴多斯,1.5
白俄罗斯,2
比利时,1.154
伯利兹,1.667
贝宁,1.5
不丹,1.5
玻利维亚,1.467
波黑,2
博茨瓦纳,1.5
巴西,1.429
文莱,2
保加利亚,1.667
布基纳法索,1.5
布隆迪,1.667
佛得角,1.5
柬埔寨,1.563
喀麦隆,1.5
加拿大,2
中非,1.5
乍得,1.5
智利,1.5
中国,1.5
哥伦比亚,1.5
刚果（金）,1.333
刚果（布）,1.5
哥斯达黎加,1.667
科特迪瓦,1.5
克罗地亚,2
古巴,2
塞浦路斯,1.5
捷克,1.5
丹麦,1.321
吉布提,1.75
多米尼克,2
多米尼加,1.5
厄瓜多尔,1.5
埃及,1.5
萨尔瓦多,1.772
赤道几内亚,1.5
厄立特里亚,2
爱沙尼亚,1.571
斯威士兰,1.5
埃塞俄比亚,2
斐济,2
芬兰,1.636
法国,1.5
加蓬,1.333
冈比亚,1.5
格鲁吉亚,1.5
德国,1.667
加纳,1.5
希腊,1.5
格林纳达,1.667
危地马拉,1.6
几内亚,1.5
几内亚比绍,2
圭亚那,1.667
海地,1.667
洪都拉斯,2
匈牙利,2
冰岛,1.389
印度,1.5
印度尼西亚,1.5
伊朗,1.75
伊拉克,1.5
爱尔兰,2
以色列,1.375
意大利,1.5
牙买加,2
日本,1.5
约旦,2
哈萨克斯坦,2
肯尼亚,1.5
基里巴斯,2
朝鲜,2
韩国,1.5
科威特,2
吉尔吉斯斯坦,1.667
老挝,1.5
拉脱维亚,2
黎巴嫩,1.5
莱索托,1.5
利比里亚,1.9
利比亚,2
列支敦士登,1.667
立陶宛,1.667
卢森堡,1.667
马达加斯加,1.5
马拉维,1.5
马来西亚,2
马尔代夫,1.5
马里,1.5
马耳他,1.5
毛里塔尼亚,1.5
毛里求斯,1.5
墨西哥,1.75
密克罗尼西亚,1.9
摩尔多瓦,2
摩纳哥,1.25
蒙古,2
黑山,2
摩洛哥,1.5
莫桑比克,1.5
缅甸,1.5
纳米比亚,1.5
瑙鲁,2
尼泊尔,0.82
荷兰,1.5
新西兰,2
尼加拉瓜,1.667
尼日尔,1.167
尼日利亚,2
北马其顿,2
挪威,1.375
阿曼,2
巴基斯坦,1.5
帕劳,1.6
巴勒斯坦,2
巴拿马,1.5
巴布亚新几内亚,1.333
巴拉圭,1.818
秘鲁,1.5
菲律宾,2
波兰,1.6
葡萄牙,1.5
卡塔尔,2.545
罗马尼亚,1.5
俄罗斯,1.5
卢旺达,1.5
西撒哈拉,2
圣基茨和尼维斯,1.5
圣卢西亚,2
圣文森特和格林纳丁斯,1.5
萨摩亚,2
圣马力诺,1.333
圣多美和普林西比,2
沙特阿拉伯,1.5
塞内加尔,1.5
塞尔维亚,1.5
塞舌尔,2
塞拉利昂,1.5
新加坡,1.5
斯洛伐克,1.5
斯洛文尼亚,2
所罗门群岛,2
索马里,1.5
南非,1.5
南苏丹,2
西班牙,1.5
斯里兰卡,2
苏丹,2
苏里南,1.5
瑞典,1.6
瑞士,1
叙利亚,1.5
塔吉克斯坦,2
坦桑尼亚,1.5
泰国,1.5
东帝汶,2
多哥,1.618
汤加,2
特立尼达和多巴哥,1.667
突尼斯,1.5
土耳其,1.5
土库曼斯坦,1.5
图瓦卢,2
乌干达,1.5
乌克兰,1.5
阿联酋,2
英国,2
美国,1.9
乌拉圭,1.5
乌兹别克斯坦,2
瓦努阿图,1.895
梵蒂冈,1
委内瑞拉,1.5
越南,1.5
也门,1.5
赞比亚,1.5
津巴布韦,2
