province,Capital City,Latitude,Longitude,province_population,population_normalized,province_GDP,GDP_normalized,power
成都市,成都市,30.65791077,104.0658851,,,,,
德阳市,德阳市,31.12696788,104.3981189,,,,,
绵阳市,绵阳市,31.46440768,104.7528496,,,,,
广元市,广元市,32.43538064,105.8433355,,,,,
巴中市,巴中市,31.85861598,106.7524148,,,,,
广安市,广安市,30.45794778,106.6326494,,,,,
遂宁市,遂宁市,30.52644266,105.589392,,,,,
南充市,南充市,30.78691004,106.0882218,,,,,
达州市,达州市,31.20980487,107.4777156,,,,,
眉山市,眉山市,30.06361976,103.8417207,,,,,
乐山市,乐山市,29.55887619,103.7649447,,,,,
宜宾市,宜宾市,28.76778474,104.6253876,,,,,
泸州市,泸州市,28.88735628,105.449816,,,,,
内江市,内江市,29.58610145,105.0615192,,,,,
资阳市,资阳市,30.12930927,104.6285694,,,,,
自贡市,自贡市,29.34435964,104.7765621,,,,,
雅安市,雅安市,29.98727841,103.0032115,,,,,
攀枝花市,攀枝花市,26.58067703,101.713717,,,,,
凉山彝族自治州,西昌市,27.88061509,102.2573781,,,,,
甘孜藏族自治州,康定市,30.05280942,101.9692704,,,,,
阿坝藏族强自治州,"	马尔康市",31.90073186,102.2192139,,,,,
