领域代码,领域,地区代码(M49),地区,要素代码,要素,科目代码(CPC),科目,年份代码,年份,单位,值,标识,标识描述,说明
SCL,供应利用账目(2010-),64,不丹,5510,Production,1221,西瓜,2022,2022,t,94.23,A,Officialfigure,
SCL,供应利用账目(2010-),64,不丹,5610,进口数量,1221,西瓜,2022,2022,t,2371,A,Officialfigure,
SCL,供应利用账目(2010-),64,不丹,5141,食品消费数量(吨),1221,西瓜,2022,2022,t,2415.25,E,Estimatedvalue,
SCL,供应利用账目(2010-),64,不丹,664,食品消费(大卡/人均/克),1221,西瓜,2022,2022,大卡/人均/克,1.73,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),64,不丹,665,食品数量/日/人均/克),1221,西瓜,2022,2022,克/人/天,8.46,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),626,东帝汶,5610,进口数量,1221,西瓜,2022,2022,t,25.91,A,Officialfigure,
SCL,供应利用账目(2010-),626,东帝汶,5141,食品消费数量(吨),1221,西瓜,2022,2022,t,25.91,E,Estimatedvalue,
SCL,供应利用账目(2010-),626,东帝汶,664,食品消费(大卡/人均/克),1221,西瓜,2022,2022,大卡/人均/克,0.01,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),626,东帝汶,665,食品数量/日/人均/克),1221,西瓜,2022,2022,克/人/天,0.05,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),156,中国,5510,Production,1221,西瓜,2022,2022,t,60386120.87,I,Imputedvalue,
SCL,供应利用账目(2010-),156,中国,5610,进口数量,1221,西瓜,2022,2022,t,68410.67,A,Officialfigure,
SCL,供应利用账目(2010-),156,中国,5910,出口数量,1221,西瓜,2022,2022,t,57773.81,A,Officialfigure,
SCL,供应利用账目(2010-),156,中国,5141,食品消费数量(吨),1221,西瓜,2022,2022,t,50660122.8,E,Estimatedvalue,
SCL,供应利用账目(2010-),156,中国,664,食品消费(大卡/人均/克),1221,西瓜,2022,2022,大卡/人均/克,19.92,X,Figurefrominternationalorganizations,非正式数据
